Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed,RunCadence,Watts
2025-01-16T22:08:49.000Z,13.740369882434607,100.52495238371193,7.599999904632568,0.0,85,0.0,0,0
2025-01-16T22:08:50.000Z,13.740381868556142,100.52496068179607,8.0,0.3199999928474426,85,0.0,0,0
2025-01-16T22:08:51.000Z,13.740377258509398,100.52497861906886,7.800000190734863,1.659999966621399,85,0.0,0,0
2025-01-16T22:08:52.000Z,13.740373654291034,100.52499865181744,7.800000190734863,3.819999933242798,85,0.0,0,0
2025-01-16T22:08:53.000Z,13.74037105590105,100.52502530626953,7.800000190734863,7.199999809265137,85,1.1480000019073486,0,0
2025-01-16T22:08:54.000Z,13.740363763645291,100.52504852414131,7.800000190734863,9.760000228881836,85,1.968999981880188,0,0
2025-01-16T22:08:55.000Z,13.740359237417579,100.52506126463413,7.800000190734863,12.15999984741211,86,2.677999973297119,86,0
2025-01-16T22:08:56.000Z,13.740355046465993,100.52508112974465,7.800000190734863,14.15999984741211,87,2.677999973297119,87,367
2025-01-16T22:08:57.000Z,13.740349262952805,100.52509495988488,7.800000190734863,16.100000381469727,88,2.4539999961853027,88,342
2025-01-16T22:08:58.000Z,13.740347167477012,100.52511381916702,7.800000190734863,18.049999237060547,89,2.2300000190734863,88,305
2025-01-16T22:08:59.000Z,13.74034272506833,100.52512865513563,7.800000190734863,20.040000915527344,90,2.118000030517578,88,278
2025-01-16T22:09:00.000Z,13.740336773917079,100.52514592185616,7.800000190734863,21.280000686645508,90,2.0989999771118164,88,276
2025-01-16T22:09:01.000Z,13.740331996232271,100.52516511641443,7.800000190734863,23.329999923706055,91,2.0989999771118164,88,277
2025-01-16T22:09:02.000Z,13.740324871614575,100.52518581971526,7.800000190734863,25.56999969482422,92,1.968999981880188,87,263
2025-01-16T22:09:03.000Z,13.740318501368165,100.52520593628287,7.800000190734863,27.889999389648438,93,1.968999981880188,87,262
2025-01-16T22:09:04.000Z,13.740311963483691,100.5252271424979,7.800000190734863,30.299999237060547,94,2.062000036239624,88,271
2025-01-16T22:09:05.000Z,13.740304671227932,100.52525086328387,7.800000190734863,33.060001373291016,95,2.13700008392334,88,280
2025-01-16T22:09:06.000Z,13.740301067009568,100.52526712417603,7.599999904632568,34.790000915527344,96,2.2019999027252197,88,295
2025-01-16T22:09:07.000Z,13.740296205505729,100.52528757601976,7.599999904632568,37.13999938964844,97,2.2300000190734863,88,300
2025-01-16T22:09:08.000Z,13.74029528349638,100.52530257962644,7.599999904632568,38.84000015258789,98,2.249000072479248,88,300
2025-01-16T22:09:09.000Z,13.740291595458984,100.52532831206918,7.599999904632568,41.2400016784668,99,2.2300000190734863,87,295
2025-01-16T22:09:10.000Z,13.740289332345128,100.52534725517035,7.599999904632568,43.810001373291016,100,2.2109999656677246,87,290
2025-01-16T22:09:11.000Z,13.740287655964494,100.52536946721375,7.599999904632568,45.869998931884766,100,2.2109999656677246,87,290
2025-01-16T22:09:12.000Z,13.740291260182858,100.52538991905749,7.599999904632568,48.5099983215332,101,2.239000082015991,87,294
2025-01-16T22:09:13.000Z,13.740298971533775,100.52540492266417,7.599999904632568,50.849998474121094,101,2.249000072479248,87,297
2025-01-16T22:09:14.000Z,13.740311963483691,100.52541540004313,7.599999904632568,52.59000015258789,102,2.2669999599456787,87,301
2025-01-16T22:09:15.000Z,13.7403270509094,100.52541037090123,7.599999904632568,53.689998626708984,103,2.2669999599456787,87,303
2025-01-16T22:09:16.000Z,13.740351861342788,100.52541464567184,7.599999904632568,55.970001220703125,104,2.257999897003174,87,303
2025-01-16T22:09:17.000Z,13.740369798615575,100.52541841752827,7.599999904632568,58.0099983215332,105,2.2019999027252197,87,296
2025-01-16T22:09:18.000Z,13.740387232974172,100.52542369812727,7.599999904632568,60.20000076293945,106,2.2019999027252197,86,295
2025-01-16T22:09:19.000Z,13.740403829142451,100.5254288110882,7.599999904632568,61.9900016784668,106,2.193000078201294,86,293
2025-01-16T22:09:20.000Z,13.740421012043953,100.52543551661074,7.599999904632568,63.45000076293945,106,2.193000078201294,86,292
2025-01-16T22:09:21.000Z,13.740427382290363,100.52545487880707,7.400000095367432,65.01000213623047,106,2.1549999713897705,86,287
2025-01-16T22:09:22.000Z,13.740422520786524,100.52546971477568,7.400000095367432,65.9000015258789,107,2.127000093460083,86,281
2025-01-16T22:09:23.000Z,13.740408606827259,100.52547541446984,7.400000095367432,67.05000305175781,107,2.0899999141693115,85,280
2025-01-16T22:09:24.000Z,13.740392178297043,100.52547331899405,7.199999809265137,68.80000305175781,107,1.9500000476837158,84,257
2025-01-16T22:09:25.000Z,13.740376671776175,100.52547650411725,7.199999809265137,70.9000015258789,107,1.8660000562667847,83,240
2025-01-16T22:09:26.000Z,13.74035781249404,100.52546979859471,7.199999809265137,72.72000122070312,107,1.8660000562667847,82,239
2025-01-16T22:09:27.000Z,13.740339204668999,100.52546451799572,7.0,74.83000183105469,108,1.875,82,239
2025-01-16T22:09:28.000Z,13.740320429205894,100.52546217106283,7.0,77.13999938964844,108,1.8940000534057617,82,240
2025-01-16T22:09:29.000Z,13.740301486104727,100.5254565551877,7.0,79.01000213623047,108,1.902999997138977,82,242
2025-01-16T22:09:30.000Z,13.7402855604887,100.52545571699739,7.0,80.87999725341797,108,1.9220000505447388,83,245
2025-01-16T22:09:31.000Z,13.740264102816582,100.52545295096934,7.0,82.9800033569336,109,1.9220000505447388,83,244
2025-01-16T22:09:32.000Z,13.740245494991541,100.52545010112226,7.0,85.31999969482422,108,1.9129999876022339,83,242
