timestamp,position_lat,position_long,altitude,heart_rate,cadence,speed,distance
2025-10-08T05:48:57.000000+0700,13.811375,100.570446,7.9,116,46,1.8103954466158976,75.62865634616057
2025-10-08T05:48:58.000000+0700,13.811359,100.570449,7.9,116,46,1.810395450328819,77.43905179648938
2025-10-08T05:48:59.000000+0700,13.811343,100.570452,7.9,117,47,1.8103954543975642,79.24944725088694
2025-10-08T05:49:00.000000+0700,13.811326,100.570453,7.9,117,47,1.8955163412137426,81.1449635921007
2025-10-08T05:49:01.000000+0700,13.81131,100.570454,7.9,117,47,1.78438931913925,82.92935291123995
2025-10-08T05:49:02.000000+0700,13.811294,100.570453,7.9,117,47,1.7843893197862088,84.71374223102616
2025-10-08T05:49:03.000000+0700,13.811279,100.57045,7.9,117,47,1.7009934918834135,86.41473572290957
2025-10-08T05:49:04.000000+0700,13.811263,100.570447,7.9,116,52,1.8103954742573758,88.22513119716695
2025-10-08T05:49:05.000000+0700,13.811247,100.570443,7.9,116,52,1.8328481961294874,90.05797939329643
2025-10-08T05:49:06.000000+0700,13.811232,100.57044,7.9,116,52,1.7009935040589739,91.7589728973554
2025-10-08T05:49:07.000000+0700,13.811216,100.570436,7.9,116,52,1.8328482096979013,93.5918211070533
2025-10-08T05:49:08.000000+0700,13.811201,100.570431,7.9,116,52,1.7550931830065457,95.34691429005986
2025-10-08T05:49:09.000000+0700,13.811185,100.570425,7.9,116,51,1.8955339829365572,97.24244827299641
2025-10-08T05:49:10.000000+0700,13.81117,100.570418,7.9,116,51,1.833251744808177,99.07570001780459
2025-10-08T05:49:11.000000+0700,13.811155,100.570411,7.9,116,51,1.8332517657242875,100.90895178352888
2025-10-08T05:49:12.000000+0700,13.81114,100.570405,7.9,116,51,1.7913392594866118,102.70029104301548
2025-10-08T05:49:13.000000+0700,13.811125,100.5704,7.9,116,51,1.7550932368116376,104.45538427982711
2025-10-08T05:49:14.000000+0700,13.81111,100.570396,7.9,114,49,1.7248709604445673,106.18025524027168
2025-10-08T05:49:15.000000+0700,13.811095,100.570392,7.9,114,49,1.7248709672294331,107.90512620750111
2025-10-08T05:49:16.000000+0700,13.811081,100.570387,7.9,114,49,1.6495404027355707,109.55466661023668
2025-10-08T05:49:17.000000+0700,13.811069,100.57038,8.0,114,49,1.5385246520045177,111.09319126224119
2025-10-08T05:49:18.000000+0700,13.811058,100.570372,8.0,114,49,1.4991094141003476,112.59230067634154
2025-10-08T05:49:19.000000+0700,13.811049,100.570361,8.1,113,52,1.5581208726433016,114.15042154898484
2025-10-08T05:49:20.000000+0700,13.811041,100.57035,8.1,113,52,1.485623188379753,115.63604473736459
2025-10-08T05:49:21.000000+0700,13.811034,100.570338,8.1,113,52,1.5132647477760075,117.14930948514059
2025-10-08T05:49:22.000000+0700,13.811028,100.570327,8.2,113,52,1.3675158508667429,118.51682533600733
2025-10-08T05:49:23.000000+0700,13.811024,100.570315,8.2,113,52,1.3715077058766687,119.888333041884
2025-10-08T05:49:24.000000+0700,13.81102,100.570304,8.2,113,53,1.2697476595861683,121.15808070147017
2025-10-08T05:49:25.000000+0700,13.811018,100.570293,8.3,113,53,1.213900651265429,122.3719813527356
