distance,timestamp,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,heart_rate
57.18,2022-06-10 14:26:30,178.39999999999998,1.462,1.0,207760655.0,1226269453.0,1.462,
,2022-06-10 14:26:31,178.39999999999998,1.698,1.0,207760820.0,1226269503.0,1.698,97.0
61.39,2022-06-10 14:26:32,178.20000000000005,1.564,1.0,207760988.0,1226269559.0,1.564,
,2022-06-10 14:26:33,178.20000000000005,1.806,1.0,207761163.0,1226269613.0,1.806,
,2022-06-10 14:26:34,178.20000000000005,1.681,1.0,207761345.0,1226269665.0,1.681,
66.4,2022-06-10 14:26:35,178.20000000000005,2.145,1.0,207761542.0,1226269732.0,2.145,
,2022-06-10 14:26:36,178.20000000000005,2.156,1.0,207761758.0,1226269818.0,2.156,
,2022-06-10 14:26:37,178.20000000000005,2.11,1.0,207761970.0,1226269913.0,2.11,
72.02,2022-06-10 14:26:38,178.20000000000005,2.187,1.0,207762184.0,1226270007.0,2.187,
,2022-06-10 14:26:39,178.20000000000005,2.202,1.0,207762406.0,1226270095.0,2.202,103.0
76.88,2022-06-10 14:26:40,178.20000000000005,2.167,1.0,207762627.0,1226270178.0,2.167,
,2022-06-10 14:26:41,178.0,2.142,1.0,207762841.0,1226270273.0,2.142,
,2022-06-10 14:26:42,178.0,2.184,1.0,207763054.0,1226270371.0,2.184,
82.2,2022-06-10 14:26:43,178.0,2.14,1.0,207763272.0,1226270460.0,2.14,104.0
,2022-06-10 14:26:44,178.0,2.066,1.0,207763487.0,1226270537.0,2.066,
87.87,2022-06-10 14:26:45,178.0,2.06,1.0,207763702.0,1226270597.0,2.06,
,2022-06-10 14:26:46,178.0,2.061,1.0,207763921.0,1226270640.0,2.061,106.0
,2022-06-10 14:26:47,178.0,2.116,1.0,207764142.0,1226270687.0,2.116,
93.22,2022-06-10 14:26:48,177.79999999999995,2.099,1.0,207764363.0,1226270742.0,2.099,
,2022-06-10 14:26:49,177.79999999999995,2.079,1.0,207764580.0,1226270805.0,2.079,
98.71,2022-06-10 14:26:50,177.79999999999995,2.094,1.0,207764792.0,1226270884.0,2.094,
,2022-06-10 14:26:51,177.79999999999995,2.103,1.0,207765003.0,1226270966.0,2.103,
,2022-06-10 14:26:52,177.79999999999995,2.082,1.0,207765216.0,1226271043.0,2.082,
103.37,2022-06-10 14:26:53,177.79999999999995,2.116,1.0,207765430.0,1226271118.0,2.116,
,2022-06-10 14:26:54,177.79999999999995,2.165,1.0,207765647.0,1226271199.0,2.165,
,2022-06-10 14:26:55,177.60000000000002,2.11,1.0,207765863.0,1226271285.0,2.11,111.0
109.2,2022-06-10 14:26:56,177.60000000000002,2.056,1.0,207766072.0,1226271370.0,2.056,
,2022-06-10 14:26:57,177.60000000000002,2.033,1.0,207766280.0,1226271447.0,2.033,113.0
114.48,2022-06-10 14:26:58,177.60000000000002,2.035,1.0,207766486.0,1226271523.0,2.035,
,2022-06-10 14:26:59,177.60000000000002,1.992,1.0,207766690.0,1226271601.0,1.992,
,2022-06-10 14:27:00,177.60000000000002,1.867,1.0,207766887.0,1226271669.0,1.867,
119.92,2022-06-10 14:27:01,177.60000000000002,1.735,1.0,207767073.0,1226271728.0,1.735,116.0
,2022-06-10 14:27:02,177.60000000000002,1.723,1.0,207767251.0,1226271784.0,1.723,
124.17,2022-06-10 14:27:03,177.79999999999995,1.759,1.0,207767430.0,1226271844.0,1.759,
,2022-06-10 14:27:04,177.79999999999995,1.792,1.0,207767612.0,1226271907.0,1.792,
,2022-06-10 14:27:05,177.79999999999995,1.892,1.0,207767801.0,1226271969.0,1.892,
128.77,2022-06-10 14:27:06,177.79999999999995,1.894,1.0,207767996.0,1226272034.0,1.894,
,2022-06-10 14:27:07,177.79999999999995,1.915,1.0,207768188.0,1226272110.0,1.915,
134.03,2022-06-10 14:27:08,177.79999999999995,1.938,1.0,207768379.0,1226272194.0,1.938,
,2022-06-10 14:27:09,177.79999999999995,1.954,1.0,207768577.0,1226272268.0,1.954,
,2022-06-10 14:27:10,177.79999999999995,1.918,1.0,207768778.0,1226272326.0,1.918,119.0
138.93,2022-06-10 14:27:11,178.0,1.943,1.0,207768980.0,1226272378.0,1.943,
,2022-06-10 14:27:12,178.0,1.913,1.0,207769181.0,1226272434.0,1.913,
143.61,2022-06-10 14:27:13,178.0,1.951,1.0,207769381.0,1226272497.0,1.951,
,2022-06-10 14:27:14,178.0,2.008,1.0,207769583.0,1226272566.0,2.008,121.0
,2022-06-10 14:27:15,178.0,2.021,1.0,207769787.0,1226272643.0,2.021,
148.5,2022-06-10 14:27:16,178.20000000000005,2.022,1.0,207769990.0,1226272726.0,2.022,
,2022-06-10 14:27:17,178.20000000000005,2.074,1.0,207770197.0,1226272802.0,2.074,
,2022-06-10 14:27:18,178.20000000000005,2.091,1.0,207770412.0,1226272871.0,2.091,
153.68,2022-06-10 14:27:19,178.39999999999998,2.086,1.0,207770628.0,1226272935.0,2.086,122.0
,2022-06-10 14:27:20,178.39999999999998,2.034,1.0,207770841.0,1226273001.0,2.034,
159.17,2022-06-10 14:27:21,178.39999999999998,2.036,1.0,207771049.0,1226273071.0,2.036,
,2022-06-10 14:27:22,178.39999999999998,2.009,1.0,207771258.0,1226273136.0,2.009,
,2022-06-10 14:27:23,178.60000000000002,1.982,1.0,207771466.0,1226273193.0,1.982,
164.5,2022-06-10 14:27:24,178.60000000000002,1.915,1.0,207771670.0,1226273247.0,1.915,123.0
,2022-06-10 14:27:25,178.60000000000002,1.938,1.0,207771871.0,1226273298.0,1.938,
169.54,2022-06-10 14:27:26,178.60000000000002,1.918,1.0,207772074.0,1226273349.0,1.918,123.0
,2022-06-10 14:27:27,178.79999999999995,1.86,1.0,207772272.0,1226273401.0,1.86,
,2022-06-10 14:27:28,178.79999999999995,1.94,1.0,207772469.0,1226273462.0,1.94,
173.98,2022-06-10 14:27:29,178.79999999999995,2.031,1.0,207772670.0,1226273539.0,2.031,
,2022-06-10 14:27:30,178.79999999999995,2.032,1.0,207772875.0,1226273623.0,2.032,
179.47,2022-06-10 14:27:31,179.0,2.008,1.0,207773077.0,1226273710.0,2.008,
,2022-06-10 14:27:32,179.0,1.914,1.0,207773273.0,1226273795.0,1.914,
,2022-06-10 14:27:33,179.0,1.78,1.0,207773458.0,1226273875.0,1.78,125.0
184.55,2022-06-10 14:27:34,179.0,1.547,1.0,207773623.0,1226273950.0,1.547,
,2022-06-10 14:27:35,179.0,1.304,1.0,207773763.0,1226274017.0,1.304,
188.15,2022-06-10 14:27:36,179.20000000000005,1.383,1.0,207773898.0,1226274075.0,1.383,
,2022-06-10 14:27:37,179.20000000000005,1.513,1.0,207774045.0,1226274131.0,1.513,127.0
,2022-06-10 14:27:38,179.20000000000005,1.518,1.0,207774201.0,1226274184.0,1.518,
191.93,2022-06-10 14:27:39,179.20000000000005,1.556,1.0,207774359.0,1226274235.0,1.556,
,2022-06-10 14:27:40,179.20000000000005,1.748,1.0,207774529.0,1226274291.0,1.748,
,2022-06-10 14:27:41,179.20000000000005,1.893,1.0,207774716.0,1226274354.0,1.893,
195.77,2022-06-10 14:27:42,179.20000000000005,2.02,1.0,207774918.0,1226274420.0,2.02,
,2022-06-10 14:27:43,179.0,2.155,1.0,207775132.0,1226274492.0,2.155,
201.27,2022-06-10 14:27:44,179.0,2.142,1.0,207775352.0,1226274570.0,2.142,
,2022-06-10 14:27:45,179.0,2.134,1.0,207775571.0,1226274647.0,2.134,130.0
,2022-06-10 14:27:46,179.0,2.074,1.0,207775789.0,1226274714.0,2.074,
207.27,2022-06-10 14:27:47,179.0,1.98,1.0,207775998.0,1226274779.0,1.98,
,2022-06-10 14:27:48,179.0,2.003,1.0,207776200.0,1226274857.0,2.003,
212.2,2022-06-10 14:27:49,179.0,1.986,1.0,207776401.0,1226274937.0,1.986,
,2022-06-10 14:27:50,179.0,2.02,1.0,207776607.0,1226275007.0,2.02,129.0
,2022-06-10 14:27:51,179.0,2.121,1.0,207776821.0,1226275073.0,2.121,
217.16,2022-06-10 14:27:52,179.0,2.216,1.0,207777046.0,1226275140.0,2.216,129.0
,2022-06-10 14:27:53,179.0,2.204,1.0,207777275.0,1226275208.0,2.204,
222.67,2022-06-10 14:27:54,179.0,2.232,1.0,207777503.0,1226275282.0,2.232,
