distance,timestamp,altitude,calories,enhanced_altitude,heart_rate,position_lat,position_long,cadence,fractional_cadence,enhanced_speed,power,speed
129.64,2024-09-21 20:32:24,5.199999999999989,0.0,5.199999999999989,,163715604.0,1199726931.0,82.0,0.0,,,
132.55,2024-09-21 20:32:25,5.199999999999989,0.0,5.199999999999989,,163715246.0,1199726795.0,82.0,0.0,,,
135.47,2024-09-21 20:32:26,5.199999999999989,0.0,5.199999999999989,,163714893.0,1199726657.0,82.0,0.0,3.558,276.0,3.558
139.82,2024-09-21 20:32:27,5.199999999999989,0.0,5.199999999999989,161.0,163714541.0,1199726521.0,82.0,0.0,,,
144.18,2024-09-21 20:32:28,5.399999999999977,0.0,5.399999999999977,,163714191.0,1199726383.0,94.0,0.0,3.546,277.0,3.546
147.44,2024-09-21 20:32:29,5.399999999999977,0.0,5.399999999999977,,163713844.0,1199726238.0,94.0,0.0,,,
150.69,2024-09-21 20:32:30,5.399999999999977,0.0,5.399999999999977,,163713501.0,1199726085.0,94.0,0.0,,,
153.95,2024-09-21 20:32:31,5.600000000000023,0.0,5.600000000000023,,163713161.0,1199725927.0,82.0,0.0,3.536,280.0,3.536
157.98,2024-09-21 20:32:32,5.600000000000023,0.0,5.600000000000023,161.0,163712820.0,1199725769.0,82.0,0.0,,,
162.0,2024-09-21 20:32:33,5.600000000000023,0.0,5.600000000000023,,163712478.0,1199725615.0,82.0,0.0,3.483,279.0,3.483
164.98,2024-09-21 20:32:34,5.800000000000011,0.0,5.800000000000011,,163712134.0,1199725466.0,82.0,0.0,,,
167.97,2024-09-21 20:32:35,5.800000000000011,0.0,5.800000000000011,,163711790.0,1199725320.0,82.0,0.0,,,
170.95,2024-09-21 20:32:36,5.800000000000011,0.0,5.800000000000011,,163711448.0,1199725177.0,94.0,0.0,3.448,279.0,3.448
175.41,2024-09-21 20:32:37,6.0,0.0,6.0,,163711107.0,1199725036.0,94.0,0.0,,,
179.87,2024-09-21 20:32:38,6.0,0.0,6.0,,163710765.0,1199724900.0,82.0,0.0,3.409,279.0,3.409
182.78,2024-09-21 20:32:39,6.0,0.0,6.0,,163710419.0,1199724772.0,82.0,0.0,,,
185.69,2024-09-21 20:32:40,6.199999999999989,0.0,6.199999999999989,161.0,163710071.0,1199724650.0,82.0,0.0,,,
188.6,2024-09-21 20:32:41,6.199999999999989,0.0,6.199999999999989,,163709721.0,1199724529.0,82.0,0.0,3.428,282.0,3.428
192.52,2024-09-21 20:32:42,6.199999999999989,0.0,6.199999999999989,,163709370.0,1199724411.0,82.0,0.0,,,
