Time,Latitude,Longitude,Altitude,Distance,HeartRate,Speed,RunCadence,Watts
2025-01-12T22:31:16.000Z,13.740132506936789,100.52496864460409,7.599999904632568,2.4800000190734863,89,0.0,0,0
2025-01-12T22:31:17.000Z,13.74015656299889,100.52497518248856,7.599999904632568,2.4800000190734863,89,2.4820001125335693,0,0
2025-01-12T22:31:18.000Z,13.740163017064333,100.52498783916235,7.599999904632568,2.890000104904175,88,2.4820001125335693,0,0
2025-01-12T22:31:19.000Z,13.740164106711745,100.52499814890325,7.599999904632568,2.9800000190734863,88,2.4820001125335693,0,0
2025-01-12T22:31:20.000Z,13.74016486108303,100.5250112246722,7.599999904632568,3.890000104904175,87,2.249000072479248,0,0
2025-01-12T22:31:21.000Z,13.740162011235952,100.52503217943013,7.400000095367432,5.570000171661377,87,1.409000039100647,83,0
2025-01-12T22:31:22.000Z,13.740172991529107,100.52501793019474,7.400000095367432,6.150000095367432,87,1.409000039100647,85,199
2025-01-12T22:31:23.000Z,13.740183217450976,100.52503997460008,7.599999904632568,6.150000095367432,87,1.9869999885559082,86,256
2025-01-12T22:31:24.000Z,13.740193024277687,100.52506797015667,7.599999904632568,9.380000114440918,86,2.0250000953674316,86,268
2025-01-12T22:31:25.000Z,13.74019905924797,100.52508641034365,7.599999904632568,11.619999885559082,86,2.127000093460083,86,292
2025-01-12T22:31:26.000Z,13.740208866074681,100.52512555383146,7.599999904632568,15.869999885559082,86,2.3980000019073486,87,324
2025-01-12T22:31:27.000Z,13.740213979035616,100.52515204064548,7.599999904632568,18.8700008392334,86,2.4260001182556152,87,327
2025-01-12T22:31:28.000Z,13.74022445641458,100.52517173811793,7.599999904632568,21.34000015258789,87,2.677999973297119,87,360
2025-01-12T22:31:29.000Z,13.740252703428268,100.52519990131259,7.599999904632568,24.8799991607666,87,2.677999973297119,87,362
2025-01-12T22:31:30.000Z,13.740263180807233,100.52523091435432,7.599999904632568,28.59000015258789,87,2.677999973297119,87,353
2025-01-12T22:31:31.000Z,13.740275418385863,100.52525614388287,7.599999904632568,31.799999237060547,87,3.0980000495910645,87,421
2025-01-12T22:31:32.000Z,13.740295367315412,100.52528388798237,7.599999904632568,35.5,89,3.1070001125335693,88,421
2025-01-12T22:31:33.000Z,13.740306934341788,100.52530081942677,7.599999904632568,37.099998474121094,91,3.2279999256134033,88,441
2025-01-12T22:31:34.000Z,13.740312466397882,100.525319930166,7.599999904632568,39.43000030517578,93,3.2279999256134033,88,442
2025-01-12T22:31:35.000Z,13.740314729511738,100.52534298039973,7.599999904632568,41.93000030517578,95,3.1630001068115234,88,404
2025-01-12T22:31:36.000Z,13.740317579358816,100.52535898983479,7.599999904632568,44.220001220703125,97,3.0320000648498535,87,383
2025-01-12T22:31:37.000Z,13.740327386185527,100.52537139505148,7.599999904632568,45.869998931884766,100,2.930000066757202,87,368
2025-01-12T22:31:38.000Z,13.740345574915409,100.52538204006851,7.599999904632568,48.04999923706055,101,2.6410000324249268,87,322
2025-01-12T22:31:39.000Z,13.740369295701385,100.52539545111358,7.599999904632568,50.9900016784668,103,2.5290000438690186,87,320
2025-01-12T22:31:40.000Z,13.740396369248629,100.52540324628353,7.599999904632568,54.20000076293945,104,2.5290000438690186,87,322
2025-01-12T22:31:41.000Z,13.74041941948235,100.52541489712894,7.599999904632568,57.27000045776367,105,2.687000036239624,87,343
2025-01-12T22:31:42.000Z,13.740439536049962,100.52541414275765,7.599999904632568,59.70000076293945,105,2.8550000190734863,87,385
2025-01-12T22:31:43.000Z,13.740439871326089,100.52539536729455,7.599999904632568,59.70000076293945,106,2.8459999561309814,88,386
2025-01-12T22:31:44.000Z,13.740457389503717,100.52539846859872,7.599999904632568,61.619998931884766,107,2.753000020980835,88,369
2025-01-12T22:31:45.000Z,13.740467028692365,100.52540886215866,7.599999904632568,63.08000183105469,108,2.697000026702881,87,347
2025-01-12T22:31:46.000Z,13.740461077541113,100.5254205968231,7.599999904632568,63.58000183105469,108,2.5850000381469727,87,332
2025-01-12T22:31:47.000Z,13.740439871326089,100.52543333731592,7.400000095367432,66.08999633789062,109,2.434999942779541,86,308
2025-01-12T22:31:48.000Z,13.740409780293703,100.5254396237433,7.199999809265137,69.55999755859375,110,2.3329999446868896,86,289
2025-01-12T22:31:49.000Z,13.740386478602886,100.52543124184012,7.0,72.25,110,2.3329999446868896,86,288
2025-01-12T22:31:50.000Z,13.740372061729431,100.52542830817401,7.0,74.0199966430664,111,2.490999937057495,86,305
2025-01-12T22:31:51.000Z,13.740351609885693,100.52542311139405,7.0,76.25,111,2.490999937057495,86,308
2025-01-12T22:31:52.000Z,13.740332666784525,100.5254169087857,7.0,78.5199966430664,111,2.444999933242798,86,305
2025-01-12T22:31:53.000Z,13.74031389132142,100.525415064767,7.0,80.62000274658203,112,2.4260001182556152,86,302
2025-01-12T22:31:54.000Z,13.740296037867665,100.52540886215866,7.0,82.55000305175781,112,2.4170000553131104,85,297
2025-01-12T22:31:55.000Z,13.740280363708735,100.52541053853929,7.0,84.5,112,2.3980000019073486,85,294
2025-01-12T22:31:56.000Z,13.740260750055313,100.52540534175932,7.0,86.5,112,2.378999948501587,85,293
2025-01-12T22:31:57.000Z,13.740244321525097,100.5254015699029,7.0,88.37999725341797,112,2.3610000610351562,85,289
2025-01-12T22:31:58.000Z,13.740223031491041,100.52540039643645,7.0,90.72000122070312,111,2.3420000076293945,85,289
2025-01-12T22:31:59.000Z,13.740202747285366,100.5253994744271,7.0,92.94000244140625,110,2.3329999446868896,85,288
